GUID,ARTIST,TRACK,AIRTIME
e4b59158-4d6e-450a-1603-46b7f08b5251,Dr. Alban,It's My Life,2022-07-06T23:54:50+02:00
20fb7559-551a-4937-40b1-c4409e16bf75,Destiny's Child,Bug a Boo,2022-07-06T23:51:34+02:00
159045c3-9a7d-45db-3aba-2e8a39c6a308,The Farm,Altogether Now,2022-07-06T23:47:16+02:00
6db7fd17-5dbe-4780-02b8-110295081655,Masterboy,Mister Feeling,2022-07-06T23:43:31+02:00
f981a8dc-85a3-4478-3f97-a1a00e7f5438,Backstreet Boys,I Want It That Way,2022-07-06T23:40:05+02:00
ef872f7d-fd07-4736-f955-5d3139348856,Haddaway,What Is Love,2022-07-06T23:35:42+02:00
f61759aa-1334-4f2a-1b21-70a9e0855342,Red Hot Chili Peppers,Under the Bridge,2022-07-06T23:31:24+02:00
ad0ecf51-0c10-4646-ce86-d7ed1eaa70d7,Jamiroquai,Cosmic Girl,2022-07-06T23:27:24+02:00
2970cb6f-a625-4510-fcdb-d5e5824d6e59,Santana,Maria Maria (feat. The Product G&B),2022-07-06T23:23:14+02:00
6df2fbb6-9749-4cd3-b053-eeeb1b815a3f,Sixpence None the Richer,Kiss Me,2022-07-06T23:19:48+02:00
03baef38-06f6-4532-ca5b-373771735283,Enrique Iglesias,Rhythm Divine,2022-07-06T23:15:52+02:00
374b2d49-f4d0-48fd-1be2-50da031748b5,Radiohead,Creep,2022-07-06T23:12:04+02:00
f9fa2729-3f66-4222-288e-04a52fbdb775,Spice Girls,Wannabe,2022-07-06T23:08:24+02:00
bd4a0cc7-c503-4615-fcf2-65943072cbd0,Moby,Why Does My Heart Feel So Bad?,2022-07-06T23:04:51+02:00
7fafe4f1-3d91-42e4-b40e-0cc2e36526ad,MC Hammer,U Can't Touch This,2022-07-06T23:00:32+02:00
840730e0-e0d2-434c-ffdc-7d73438c67a3,Fun Factory,I Wanna B with U,2022-07-06T22:56:40+02:00
42985efa-761d-4123-4476-ac7021f90e14,Echt,Du trägst keine Liebe in dir,2022-07-06T22:52:58+02:00
18865438-b02d-474a-b82a-eb1688f5b44c,Jessica,How Will I Know (Who You Are),2022-07-06T22:49:32+02:00
a4eae039-ecb0-47cb-b262-84d3fb0d0c55,Snap!,Ooops Up,2022-07-06T22:45:07+02:00
11c081ce-0fb2-46a8-db0c-4a2ec24cce88,Puff Daddy & Faith Evans,I'll Be Missing You (feat. 112),2022-07-06T22:40:14+02:00
f4fef207-933b-4884-3d7e-64584c79b24a,Deee-Lite,Groove Is In the Heart,2022-07-06T22:36:44+02:00
2aecd08a-b655-4188-1bbf-9d2f28d69b5e,Alanis Morissette,Ironic,2022-07-06T22:32:57+02:00
