GUID,ARTIST,TRACK,AIRTIME
f01e5d57-c55f-4824-45d9-46ca937966da,Ray Dalton x Alvaro Soler,Manila,2022-07-06T23:58:00+02:00
f85e6067-2903-44a4-4c19-d352db88fdef,Sergio Mendes,Mas Que Nada (feat. Black Eyed Peas),2022-07-06T23:53:16+02:00
253407d6-dd84-4ae3-b839-0f7d30bfaef6,Aloe Blacc,Brooklyn In the Summer,2022-07-06T23:49:56+02:00
5e437148-b386-4fe1-2260-cc09858f7ae9,Olly Murs,Heart Skips a Beat (feat. Rizzle Kicks),2022-07-06T23:46:39+02:00
fea4ace3-d9bd-4a34-6980-36787ff9c2e5,2raumwohnung,36Grad,2022-07-06T23:42:46+02:00
4f90a023-a6d9-4d50-679e-16e7b36ef5a4,Kygo x DNCE,Dancing Feet,2022-07-06T23:39:18+02:00
3d2a0271-871e-478a-b127-863593194b37,Culture Club,Karma Chameleon,2022-07-06T23:35:04+02:00
ad8b4f24-2434-4760-cc7d-e89b1eb3b026,Charlie Puth,Light Switch,2022-07-06T23:32:01+02:00
c1ab7edb-b9aa-4a28-dca0-05ca38731bb4,Alan Walker,Sing Me to Sleep,2022-07-06T23:28:52+02:00
46433873-8125-4058-0c10-e044569b7781,Bruno Mars,Locked Out of Heaven,2022-07-06T23:25:05+02:00
f5650dd1-73d1-43e6-c81b-039abf6a0c2e,Colbie Caillat,I Do,2022-07-06T23:20:55+02:00
22e1ed69-ffa2-4887-ae34-ea14ac723fcd,Harry Styles,Lights Up,2022-07-06T23:18:14+02:00
8d591381-c5f1-4aa2-ccd2-bf1ae0c5e390,Leony,Remedy,2022-07-06T23:15:54+02:00
f981a8dc-85a3-4478-3f97-a1a00e7f5438,Backstreet Boys,I Want It That Way,2022-07-06T23:12:28+02:00
785d7c68-512f-4409-7a4f-c2b23c1ae24f,Max Giesinger,Taxi,2022-07-06T23:09:30+02:00
1a1a2e85-ffe5-43f2-8535-439b3c013776,Madonna,Miles Away,2022-07-06T23:05:57+02:00
a4f66fa7-f1f1-4513-40da-25fb665f4316,Michael Schulte,Remember Me,2022-07-06T23:02:18+02:00
b6d64b1c-daf1-460f-16be-6e3f4066246f,P!nk & Willow Sage Hart,Cover Me In Sunshine,2022-07-06T23:00:01+02:00
c1c294dc-1ad5-455a-9b10-fbdfc11cce38,Gotye,Somebody That I Used to Know (feat. Kimbra),2022-07-06T22:55:00+02:00
6bef2ad7-c87b-4e69-9a62-979d185e2f6b,Jason Mraz,I'm Yours,2022-07-06T22:51:12+02:00
e07f4fd1-fffe-45ee-f2e4-13decf90de7e,Bosse,Schönste Zeit,2022-07-06T22:47:27+02:00
94bf17d1-bdab-4043-b412-9b87e30a2e99,Shawn Mendes,When You're Gone,2022-07-06T22:44:39+02:00
73d81852-03f7-4370-0a89-41ef31425ab4,James Morrison,Broken Strings (feat. Nelly Furtado),2022-07-06T22:40:11+02:00
551cffb9-7787-490e-a72e-805d512ebebe,"ATB, Topic & A7S",Your Love (9PM),2022-07-06T22:37:46+02:00
f5374171-7bef-4010-6008-8194e6b9e245,Patrick Swayze,She's Like the Wind (feat. Wendy Fraser),2022-07-06T22:33:55+02:00
4e78df63-a528-40d2-30be-a5ec1538ed71,Ava Max,Torn,2022-07-06T22:30:36+02:00
8b7c437b-f36a-4127-65cd-14ab708c2bed,James Blunt,1973,2022-07-06T22:26:07+02:00
0b448d96-3245-4a54-1648-ede0ad20766d,Max Mutzke,Zugabe (Show meines Lebens),2022-07-06T22:22:06+02:00
58a4bf02-60d1-40db-9714-893f4fb8638e,Alle Farben & HUGEL,Castle (feat. FAST BOY),2022-07-06T22:19:44+02:00
73cc7bcd-2ec9-4a7e-2fa5-6e7ccafee43c,Rihanna,Stay (feat. Mikky Ekko),2022-07-06T22:15:56+02:00
a401cba2-2bd8-4b87-6733-5a391e5cfef4,Michael Patrick Kelly x Rea Garvey,Best Bad Friend,2022-07-06T22:13:11+02:00
0a4cb1db-b74a-43d2-2e47-f776650ea87e,George Ezra,Shotgun,2022-07-06T22:09:48+02:00
0a052f02-efc9-4c12-eecb-a336f8161e71,Michael Jackson,Remember the Time,2022-07-06T22:05:55+02:00
659127a7-3499-4293-43a7-5f097f038e41,Wincent Weiss,Frische Luft,2022-07-06T22:02:38+02:00
7779458f-d8f8-46fa-16fe-cb90e13fe7a2,Alesso & Katy Perry,When I'm Gone,2022-07-06T22:00:02+02:00
baeba663-6352-4a1b-7dbe-66cdadb745a9,Mark Forster,Einmal,2022-07-06T21:56:05+02:00
fe2b0da5-72fe-4077-878b-80c02408ff1d,Daft Punk,One More Time,2022-07-06T21:49:04+02:00
83778084-d670-413f-3886-80103f8b8262,Jaymes Young,Infinity,2022-07-06T21:45:19+02:00
80eacee3-c368-469f-8c04-1fc9a3aad524,Prince & The Revolution,Kiss,2022-07-06T21:41:12+02:00
