GUID,ARTIST,TRACK,AIRTIME
6a2b86d8-a074-49ac-6b56-ce3835361526,Joe Lynn Turner,Your Love Is Life,2022-07-06T23:56:21+02:00
f0f114fc-e733-4b03-4ea7-cfef82840364,Kingdom Come,Get Up My Friend,2022-07-06T23:52:25+02:00
f16a4023-c189-4f3c-ab59-43f083b2eb40,Warrant,I Saw Red,2022-07-06T23:47:55+02:00
01bdbb5b-57ed-4c56-aa82-3eccb7b4fd25,Europe,Rock the Night,2022-07-06T23:43:40+02:00
c2641694-802d-4752-6fc2-d94cc36317a5,U.D.O.,Don't Look Back,2022-07-06T23:40:32+02:00
0afab7af-0abe-4301-6ba5-29583b22e0f6,BB Steal,Heartbeat Away,2022-07-06T23:34:47+02:00
c2450baa-0b0d-40e8-14ec-f74b81fe76c6,Hardline,Hot Cherie,2022-07-06T23:30:38+02:00
b955ce0b-1d55-4559-a503-04ea0c66da16,Virgin Steele,Noble Savage,2022-07-06T23:22:06+02:00
aedab8c4-a246-4a97-7a8c-4dec43c73e91,Velvet Revolver,She Builds Quick Machines,2022-07-06T23:17:22+02:00
8b238729-a907-4f5c-180a-db86aeebc2e0,Uriah Heep,Blood Red Roses,2022-07-06T23:13:16+02:00
0d4dbfd0-0d2b-4399-1b9a-227324b79cfa,Vengeance,Looks of a Winner,2022-07-06T23:07:30+02:00
24bb4f72-1a19-45cf-1c51-4262d152d5a7,David Lee Roth,It's Showtime!,2022-07-06T23:03:38+02:00
bb30188f-48ad-4a16-d4cf-6ab056c54f5e,Racer X,Superheroes,2022-07-06T22:55:51+02:00
875c4522-be93-474f-ba71-eabdbb8e32cd,Gotthard,"One Life, One Soul",2022-07-06T22:51:58+02:00
a1c852c4-70fb-4f07-83f7-9a6c71e2abc9,Foo Fighters,Best of You,2022-07-06T22:46:40+02:00
846c7dd0-291a-4dec-8230-b8ed5db8d0cf,White Lion,Wait,2022-07-06T22:42:52+02:00
4f45a3ab-849a-4c71-71cd-3c4b8959331c,Tommy Shaw,Dangerous Game,2022-07-06T22:37:51+02:00
8aea54cc-a2d7-4fa6-3f25-f94d0e98b3f3,Skid Row,Monkey Business,2022-07-06T22:33:27+02:00
7f3f0622-683a-4fca-ae18-beded6ec8bec,WIDOWMAKER,THE WIDOWMAKER,2022-07-06T22:26:37+02:00
19403f8d-fe7c-40bb-61aa-b24accda6e72,Kansas,Stand Beside Me,2022-07-06T22:23:12+02:00
f4ed51f8-4e28-4d68-adbc-834b8c03b327,Ratt,Dangerous But Worth the Risk,2022-07-06T22:18:25+02:00
fbfb1bb1-c80e-44d8-eda9-06117fa0f32b,Angry Anderson,Heaven,2022-07-06T22:13:40+02:00
5125ae01-857e-458f-4f7d-95e50e1f12a4,Pretty Maids,Needles In the Dark,2022-07-06T22:07:16+02:00
24cf2bee-fa84-4b89-caa6-24a25f29c63b,Dio,Caught In the Middle,2022-07-06T22:03:17+02:00
c71e339a-df2c-47ee-bd4f-cf9d5a70c4d2,Bert Heerink,SHAME ON YOU,2022-07-06T21:54:45+02:00
35c1feae-2b5f-4710-d27f-61ca72e8e307,Deep Purple,Burn,2022-07-06T21:47:35+02:00
78777e8b-fa10-4825-d3e5-e7417c372f5f,Danger Danger,Naughty Naughty,2022-07-06T21:42:38+02:00
02bd7506-58eb-43d3-7d99-93d6c34e8456,Queensrÿche,Silent Lucidity,2022-07-06T21:35:29+02:00
a04c4954-a21d-4c40-8f7b-05b8cffd1905,Judas Priest,The Sentinel,2022-07-06T21:30:24+02:00
cf984ed5-6115-412b-e176-ec2cbdd3fd00,Alice Cooper,Little By Little,2022-07-06T21:24:37+02:00
25688b80-9bbd-4610-7fc9-f8cf8ad827f5,Journey,Ask the Lonely,2022-07-06T21:19:19+02:00
de926c4e-ef98-46da-2d5d-40282308e822,Edguy,Hallowed,2022-07-06T21:13:26+02:00
0f271ae9-a99a-46c1-9953-2aecfad00269,Bruce Dickinson,Accident of Birth,2022-07-06T21:07:40+02:00
8ee87838-1b46-4000-6df5-334bf7338a3b,Kiss,Creatures of the Night,2022-07-06T21:03:31+02:00
74e585f4-9b41-4dc6-e85c-cc36c9966914,The Police,Every Little Thing She Does Is Magic,2022-07-06T20:56:13+02:00
2ea1e5fa-16ab-4969-91f5-fa04f6e73e46,Tom Robinson Band,2-4-6-8 Motorway,2022-07-06T20:52:58+02:00
507f5fbf-3956-4118-b53a-13379198ae29,R.E.M.,The One I Love,2022-07-06T20:49:31+02:00
1aab43df-558f-4098-66a9-2f239775391a,Ugly Kid Joe,Cats in the Cradle,2022-07-06T20:41:47+02:00
