GUID,ARTIST,TRACK,AIRTIME
c9fa7c93-befc-4927-5a3f-9be23d74ec73,Felix Jaehn,Do It Better (feat. Zoe Wees),2022-07-06T23:57:34+02:00
60d4ec7b-7814-429c-1fd2-e08e7fbab8be,Marteria,OMG!,2022-07-06T23:53:58+02:00
39665684-c891-4e90-6cec-4abbc0f0f38c,Miksu / Macloud & T-Low,Sehnsucht,2022-07-06T23:50:19+02:00
4df4a011-dfb1-4c10-658d-a93f09c142c8,Jason Derulo,Slidin' (feat. Kodak Black),2022-07-06T23:47:37+02:00
d7bc7f18-df87-41f5-c756-49cca8325c86,Kungs,Don't You Know (feat. Jamie N Commons),2022-07-06T23:41:32+02:00
e9494ee0-e704-4dbd-e69d-503050671a40,James Arthur,Naked,2022-07-06T23:37:44+02:00
192cdd0d-0103-4e1e-49e3-c78a605ef57a,Imagine Dragons,Bones,2022-07-06T23:35:06+02:00
71640424-3c38-422e-8a1f-876d2555278f,Lena,Looking For Love,2022-07-06T23:32:30+02:00
a273cffb-68a6-4598-cd42-994ac9760ae1,Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),2022-07-06T23:29:05+02:00
40644edd-2d88-46db-dfab-0bd98682d692,"David Guetta, Becky Hill & Ella Henderson",Crazy What Love Can Do,2022-07-06T23:24:41+02:00
43f1fec5-8199-40f1-c48b-0e5d21503c0c,Justin Bieber feat. Daniel Ceasar & Giveon,Peaches,2022-07-06T23:21:28+02:00
807d9aef-eac9-45fe-2441-ae1405d19a45,"Ion Miles, SiraOne, BHZ",Powerade,2022-07-06T23:18:31+02:00
5774012b-5044-4f52-28ae-99c8cd0316f6,OneRepublic,Sunshine,2022-07-06T23:15:44+02:00
feb96d5a-42cc-4c94-5cbb-281983e2a8cc,Kelvin Jones,Don't Let Me Go,2022-07-06T23:12:19+02:00
62da6520-5a7d-48f8-b4c3-2893f1466bd6,Post Malone feat. Doja Cat,I Like You (A Happier Song),2022-07-06T23:09:07+02:00
01a3195f-df59-4235-5c62-8705f2ba6c60,CRO,Traum,2022-07-06T23:05:54+02:00
7c863802-47f8-48e3-5b08-e50dc0d4590e,Marshmello & Khalid,Numb,2022-07-06T23:03:18+02:00
6ce47763-902e-4295-a6a3-e9766c66af36,Rag'n'Bone Man,Human,2022-07-06T23:00:04+02:00
8d591381-c5f1-4aa2-ccd2-bf1ae0c5e390,Leony,Remedy,2022-07-06T22:57:07+02:00
92f9ad1c-9ee3-4293-758f-7b545414197c,Kraftklub,Leben ruinieren,2022-07-06T22:52:24+02:00
