GUID,AIRTIME,ARTIST,TRACK
11c081ce-0fb2-46a8-db0c-4a2ec24cce88,Puff Daddy & Faith Evans,I'll Be Missing You (feat. 112),2022-07-06T23:50:45+02:00
8654e609-52b3-40f2-9d16-f8d5ee5a778b,Tom Gregory,Footprints,2022-07-06T23:47:26+02:00
7b287c7a-2ce8-4ca2-0ce0-4a8cbc4ce72a,Imagine Dragons,Whatever It Takes,2022-07-06T23:44:16+02:00
5069e6d7-570b-4f68-1ab2-79a9984629a1,Purple Disco Machine & Sophie and the Giants,In The Dark,2022-07-06T23:41:21+02:00
5a598661-c3de-4666-39e8-d91e862e877a,K'naan,Wavin' Flag,2022-07-06T23:37:35+02:00
c9fa7c93-befc-4927-5a3f-9be23d74ec73,Felix Jaehn,Do It Better (feat. Zoe Wees),2022-07-06T23:34:43+02:00
5ffc96fa-714a-493a-44be-d8fd51fcce28,Imany,Don't Be So Shy (Filatov & Karas Remix),2022-07-06T23:31:33+02:00
211bacac-1ce7-4dc6-6791-ff78119fd60a,Michael Patrick Kelly,Blurry Eyes,2022-07-06T23:28:02+02:00
0af8c0ed-2c6b-4830-aaa7-8e0d1a980b1a,Bon Jovi,It's My Life,2022-07-06T23:21:21+02:00
1090980b-990a-4b60-8fb8-15f061c75e21,Milow,ASAP,2022-07-06T23:18:06+02:00
145ddda1-f6a1-4dd5-ad9d-e8c5d29e258a,Calvin Harris & Sam Smith,Promises,2022-07-06T23:14:40+02:00
75749a6a-e071-404b-bb8f-65601409822e,ClockClock,Sorry,2022-07-06T23:11:33+02:00
612880ed-3d81-4343-e39e-4ce5226f9ac6,Stefanie Heinzmann,My Man Is a Mean Man,2022-07-06T23:08:05+02:00
c3cb2e1f-d765-4a94-71a1-6a4a39f3469f,Gestört aber GeiL x Anna Grey,Thank You,2022-07-06T23:04:41+02:00
5115e5e6-b463-494c-135a-bf7d5b57685c,Alvaro Soler,Sofia,2022-07-06T23:00:46+02:00
14f1280d-b8de-47a2-6823-6964850115de,Ofenbach x Ella Henderson,Hurricane,2022-07-06T22:58:23+02:00
ef8b67d3-07ba-412f-f19e-96209996fbfa,C-Block,So Strung Out,2022-07-06T22:50:34+02:00
163ad1c0-a299-4515-b27e-50fa06df3835,NEA,Some Say (Felix Jaehn Remix),2022-07-06T22:47:13+02:00
8d24b5ea-f118-413f-3568-ce710eb0d72d,X Ambassadors,Renegades,2022-07-06T22:43:56+02:00
05cff18b-77bf-40d9-9f6a-b378134ee167,Jax Jones & MNEK,Where Did You Go?,2022-07-06T22:41:01+02:00
fdc15c51-7722-4578-985a-8935057b5bbc,Marlon Roudette,New Age,2022-07-06T22:37:50+02:00
472ece51-2549-4a49-8ea3-fd20b80b5a84,George Ezra,Green Green Grass,2022-07-06T22:35:02+02:00
c9f67da2-5026-4df5-8dda-292e7b052ad2,Avicii,Wake Me Up,2022-07-06T22:30:43+02:00
0bae4523-a871-4996-b864-bfeb2b6b3d3d,Malik Harris,Rockstars,2022-07-06T22:28:07+02:00
e75d9505-9010-4f33-0734-939647402ff2,ATB,You're Not Alone,2022-07-06T22:21:59+02:00
eb264944-d865-4b5d-ac34-14beac4eeb01,Nico & Vinz,Am I Wrong,2022-07-06T22:17:51+02:00
83778084-d670-413f-3886-80103f8b8262,Jaymes Young,Infinity,2022-07-06T22:13:54+02:00
7f9afe49-d8a9-4ac0-4287-a384d37b8346,Duffy,Mercy,2022-07-06T22:09:49+02:00
58b8fad1-9c42-43bd-06aa-8346fc8b1794,Ava Max,Maybe You’re The Problem,2022-07-06T22:06:31+02:00
16f9a1c4-17c4-474f-ccce-e15948b7b8ae,Hozier,Take Me To Church,2022-07-06T22:02:38+02:00
8ad648ff-9ee8-4154-cf20-a57ac13cf4f2,Lost Frequencies & Calum Scott,Where Are You Now,2022-07-06T22:00:09+02:00
4fe17006-86ca-4678-ef13-5b09ac56ee4e,Kate Bush,Running Up That Hill,2022-07-06T21:50:35+02:00
b7a1cb7f-c2c5-42ff-3746-ea1ab042e154,Sheppard,Geronimo,2022-07-06T21:47:08+02:00
