GUID,ARTIST,TRACK,AIRTIME
b72bbfaf-6b48-477c-0506-920c314888c1,Madonna,Like a Prayer,2022-07-06T23:52:44+02:00
864ac915-c5e5-4921-093b-750509c1a1dc,Alle Farben,Fading,2022-07-06T23:49:18+02:00
365a9de8-1c1e-498b-a3ad-5e87332be3f8,Milow,Ayo Technology,2022-07-06T23:45:53+02:00
ed1d60d1-2757-450e-766c-89120daab15d,Rag'n'Bone Man,All You Ever Wanted,2022-07-06T23:42:49+02:00
2b68876f-37c1-473a-a594-b1b6c0cceed9,Mark Forster & LEA,Drei Uhr Nachts,2022-07-06T23:39:59+02:00
7f0329d9-35b0-4eeb-537e-c3e868a4cef3,Coolio,Gangsta's Paradise,2022-07-06T23:36:17+02:00
94bf17d1-bdab-4043-b412-9b87e30a2e99,Shawn Mendes,When You're Gone,2022-07-06T23:33:10+02:00
9787fc1c-eb29-4e07-d63a-5825109f4de0,LINKIN PARK,Heavy (feat. Kiiara),2022-07-06T23:30:29+02:00
c4c01bc8-4a90-48be-698b-501b107a7b42,Glockenbach,Brooklyn (feat. ClockClock),2022-07-06T23:27:39+02:00
69ef88ed-bc90-4af7-8e52-07a9bc7a8e33,Jonas Blue,Perfect Strangers (feat. JP Cooper),2022-07-06T23:22:36+02:00
48b5d0a7-a134-495c-6edb-294fd68da936,Kelly Clarkson,Because of You,2022-07-06T23:19:19+02:00
afef119e-db9d-4510-66c0-d9fe35140440,P!nk,Beautiful Trauma,2022-07-06T23:15:57+02:00
c9fa7c93-befc-4927-5a3f-9be23d74ec73,Felix Jaehn,Do It Better (feat. Zoe Wees),2022-07-06T23:12:50+02:00
5a15962a-532a-4790-16a3-1fe32ed74838,Roxette,Dangerous,2022-07-06T23:09:43+02:00
211bacac-1ce7-4dc6-6791-ff78119fd60a,Michael Patrick Kelly,Blurry Eyes,2022-07-06T23:06:10+02:00
0a4cb1db-b74a-43d2-2e47-f776650ea87e,George Ezra,Shotgun,2022-07-06T23:03:07+02:00
c14ff8f6-2aaa-4542-99b1-d13398d1dc0f,"David Guetta, MistaJam & John Newman",If You Really Love Me (How Will I Know),2022-07-06T23:00:07+02:00
393eec0b-79b6-4f41-13d9-7203e3e7095c,Jason Derulo & Nuka,Love Not War (The Tampa Beat),2022-07-06T22:52:54+02:00
e10a1cfb-5354-45cc-bfbe-1370cc1827b7,Alannah Myles,Black Velvet,2022-07-06T22:49:06+02:00
a95e5ecf-ba13-423d-29ef-3dc7528f88bd,Mike Perry,The Ocean (feat. Shy Martin),2022-07-06T22:46:18+02:00
8654e609-52b3-40f2-9d16-f8d5ee5a778b,Tom Gregory,Footprints,2022-07-06T22:42:54+02:00
b03be4a5-bad8-4569-9a3b-bbd0f3591797,Oceana,Endless Summer (Single Mix),2022-07-06T22:39:30+02:00
785d7c68-512f-4409-7a4f-c2b23c1ae24f,Max Giesinger,Taxi,2022-07-06T22:36:56+02:00
a08021e7-1cc4-43aa-6dfd-c4c9eb600b32,Simple Minds,Don't You (Forget About Me),2022-07-06T22:32:45+02:00
